"ISBN","Max"
"0070109109",0.035821690813684
"0070109109",0.0138704395652088
"0070109109",0.0101452249208398
"0070109109",0.00576269027449109
"0070109109",0.00558749774260219
"0070109109",0.00398217278259215
"0070109109",0.00192526259471785
"0070109109",0.019747017437322
"0070109109",0.00211796075999087
"0070109109",0.00142525124399574
"0070109109",0.0025710346620068
"0070109109",-0.00111099434967562
"0070109109",-0.000284467450425868
"0070109109",0.00153541785863224
"0070109109",0.000799417756504629
"0070109109",0.00175254679670254
"0070109109",0.00184356112942821
"0070109109",-0.00270370888929914
"0070109109",0.00308314585883712
"0070109109",-0.00054319830271831
"0070109109",-7.79055856079348e-05
"0070109109",0.000331309926685764
"0070109109",-0.00144927783486496
"0070109109",0.00319952314116546
"0070109109",0.0149808369707067
"0070109109",0.00766526246447437
"0070109109",-0.000727174262575391
"0070109109",0.0064057284364205
"0070109109",0.00573261324192281
"0070109109",0.00175509775439775
"0070109109",0.00116710093426087
"0070109109",-0.0050027747665653
"0070109109",-0.00894362148427411
"0070109109",-0.00938010570683613
"0070109109",-0.00482864687604024
"0070109109",-0.00375264264881562
"0070109109",0.00303778835602561
"0070109109",-0.00303070626902124
"0070109109",0.00336830825803539
"0070109109",0.00749113363720985
"0070109109",0.000299377409101749
"0070109109",0.00133475750900709
"0070109109",0.00324103801476004
"0070109109",0.00376056619064023
"0070109109",-0.00026893302075459
"0070109109",0.000894262671338358
"0070109109",0.00932482397902447
"0070109109",0.00608240074851582
"0070109109",0.00750731979988349
"0070109109",0.000144621661848836
"0070109109",-0.00108611271124423
"0070109109",-0.00156538122877213
"0070109109",-0.00387366152394317
"0070109109",-0.00443598943762525
"0070109109",0.00352768093299622
"0070109109",-0.00261578625828294
"0070109109",-0.00625240812694351
"0070109109",-0.00278861900607662
"0070109109",-0.00290493400863999
"0070109109",-0.00024832805072395
"0070109109",-0.0062398788788767
"0070109109",-0.00128351427321746
"0070109109",-0.00829704588736008
"0070109109",0.0018093809777955
"0070109109",0.00261508470885028
"0070109109",0.00462483956376557
"0070109109",-0.00163781012888771
"0070109109",-0.0040308556895917
"0070109109",-0.00804773341763941
"0070109109",-0.00542566363287424
"0070109109",-0.00458459405784977
"0070109109",-0.00809195804572716
"0070109109",-0.00564308697046378
"0070109109",-0.012533473531137
"0070109109",-0.00476042145011791
"0070109109",-0.00689265312838524
"0070109109",-0.00926705771673418
"0070109109",-0.0130155727990252
"0070109109",-0.0100782076033336
"0070109109",-0.00854376555472144
"0070109109",-0.0112404138484071
"0070109109",-0.0098511460697581
"0070109109",-0.0105198151097828
"0070109109",-0.00790954783944744
"0070109109",-0.00716577419041764
"0070109109",-0.00842282442777611
"0070109109",-0.00600194617174828
"0070109109",-0.00793484120480728
"0070109109",-0.00673972454976993
"0070109109",-0.00679687210497753
"0070109109",-0.00595866088878836
"0070109109",-0.00944200680885689
"0070109109",-0.00781820701740595
"0070109109",-0.0066287395574853
"0070109109",-0.00744974203284623
